"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","prolific_id","att_1","att_2","comp","text_explain","q1","q2","q3","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","PROLIFIC_PID","Group"
"2024-04-17 13:12:44","2024-04-17 13:14:57","IP Address","Anonymized","100","132","True","2024-04-17 13:14:57","R_5HnIf7Lm8mWZUqw","","","","","Anonymized","Anonymized","anonymous","EN","I agree","5fcebad3ab12b2172d0aa34e","Paul","Purple","You were asked to watch a video","No video loaded so I didn't watch anything. That may have been an issue on my part or a failing of my network.","Mostly confusion as to where the video was","I didn't see a video","No","Female","","White or European","","26","Some College","","5fcebad3ab12b2172d0aa34e","Video3"
"2024-04-17 13:13:14","2024-04-17 13:15:11","IP Address","Anonymized","100","117","True","2024-04-17 13:15:12","R_1GwfESgwLg4Y54M","","","","","Anonymized","Anonymized","anonymous","EN","I agree","5a188836087f2e0001eaf744","Paul","Purple","You were asked to watch a video","Some CGd people were in an office or some kind of room. A man was talking and a girl and another person were silent. There was no sound.","Creepy","There was no sound and the people weren't real.","Yes","Female","","Black or African American","","38","Vocational/Technical School (2 year)","","5a188836087f2e0001eaf744","Video6"
"2024-04-17 13:13:45","2024-04-17 13:15:13","IP Address","Anonymized","100","88","True","2024-04-17 13:15:14","R_7aGcFimFfBUt3dn","","","","","Anonymized","Anonymized","anonymous","EN","I agree","65e737b89793a7114400df10","Paul","Purple","You were asked to watch a video","A man with headphones nodded","there was no sound","there was no sound","Yes","Female","","White or European","","52","College Graduate (4 year)","","65e737b89793a7114400df10","Video3"
"2024-04-17 13:10:48","2024-04-17 13:15:18","IP Address","Anonymized","100","269","True","2024-04-17 13:15:18","R_1mlWfwBQON2v5SV","","","","","Anonymized","Anonymized","anonymous","EN","I agree","63d13cbf71e02c93947766f3","Paul","Purple","You were asked to watch a video","A robot nodded its head","Creepy as hell","Well, it was a creepy ass robot.","Yes","Male","","White or European","","34","High School or Equivalent","","63d13cbf71e02c93947766f3","Video1"
"2024-04-17 13:13:51","2024-04-17 13:15:18","IP Address","Anonymized","100","86","True","2024-04-17 13:15:19","R_7V7jRKbonhK6NRf","","","","","Anonymized","Anonymized","anonymous","EN","I agree","62e02c79a168409c22dc09cb","Paul","Purple","You were asked to watch a video","A robot that looks like a human girl was nodding in agreement.","I'm creeped out by how uncanny that robot looks.","no.","Yes","Female","","Asian","","29","College Graduate (4 year)","","62e02c79a168409c22dc09cb","Video1"
"2024-04-17 13:14:22","2024-04-17 13:15:27","IP Address","Anonymized","100","65","True","2024-04-17 13:15:28","R_5Io2thdIigIUMHd","","","","","Anonymized","Anonymized","anonymous","EN","I agree","5f6eb18408ed4c3fa68fbf8a","Paul","Purple","You were asked to watch a video","The older Asian man moved his head around and blinked","The man looked like a robot","I don't think that was a human","Yes","Female","","Asian","","42","Masters Degree (MS)","","5f6eb18408ed4c3fa68fbf8a","Video5"
"2024-04-17 13:12:51","2024-04-17 13:15:38","IP Address","Anonymized","100","167","True","2024-04-17 13:15:39","R_2ncqsOsxwx6vbOj","","","","","Anonymized","Anonymized","anonymous","EN","I agree","63ebd4aba757d4899f9a7343","Paul","Purple","You were asked to watch a video","a man had his hands raised at his torso and he rocked left to right","I hardly saw it bacuse I didn't hear any sound so I was looking at the button for my volume control, then it was over","hardly no","No","Female","","White or European","","42","Some College","","63ebd4aba757d4899f9a7343","Video2"
"2024-04-17 13:14:08","2024-04-17 13:15:39","IP Address","Anonymized","100","91","True","2024-04-17 13:15:39","R_1zt7leHmVLsi2kh","","","","","Anonymized","Anonymized","anonymous","EN","I agree","607e3f2b4e935b3bd8c828b8","Paul","Purple","You were asked to watch a video","Some guy with blond hair was just staring into space and that was all that was happening","Curious about why he was doing that honestly","Nothing really","No","Male","","White or European","","30","High School or Equivalent","","607e3f2b4e935b3bd8c828b8","Video4"
"2024-04-17 13:12:30","2024-04-17 13:15:47","IP Address","Anonymized","100","197","True","2024-04-17 13:15:47","R_2Ho7iUCFAK1500M","","","","","Anonymized","Anonymized","anonymous","EN","I agree","56b10ae86399f9000ad8d987","Paul","Purple","You were asked to watch a video","A robot who looked like of like an Asian man tilted his head forward then back and moved his mouth a bit.","Not really","Seemed like the person wasn't real, like it was a robot or something.","Yes","Male","","White or European","","44","Some College","","56b10ae86399f9000ad8d987","Video3"
"2024-04-17 13:14:05","2024-04-17 13:15:52","IP Address","Anonymized","100","107","True","2024-04-17 13:15:52","R_7UaPdBcTWb7clgd","","","","","Anonymized","Anonymized","anonymous","EN","I agree","5c0d7f78594d920001680447","Paul","Purple","You were asked to watch a video","A man with gray hair was looking off to the side and blinking.","I was wondering where the sound was, who the man was, and what he was doing. ","It was short, there didn't seem to be a ""purpose"" and there was no audio. ","No","Female","","Black or African American","","32","College Graduate (4 year)","","5c0d7f78594d920001680447","Video4"
