Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
634dc81cb7ddcbb82a2f0708,63081065ccb6f3f178d6a248,APPROVED,2022-10-17T21:24:51.693000Z,2022-10-17T21:26:49.838000Z,2022-10-17T21:26:50.272000Z,2022-10-17T21:26:50.206273Z,119,C144ZYME,71,21,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,
634dc82566b43240eec4b922,61537529838b05f12699918e,APPROVED,2022-10-17T21:24:56.609000Z,2022-10-17T21:25:44.918000Z,2022-10-17T21:25:45.519000Z,2022-10-17T21:25:45.449861Z,49,C144ZYME,1508,58,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc82812d1f5151baf7819,5f4af662edeb8515330d6405,APPROVED,2022-10-17T21:25:00.231000Z,2022-10-17T21:27:18.305000Z,2022-10-17T21:27:18.746000Z,2022-10-17T21:27:18.689414Z,139,C144ZYME,2814,53,Male,Mixed,United States,United States,United States,English,No,Part-Time,
634dc83990033281311ffa05,570d891d42a1db000fc65b4d,APPROVED,2022-10-17T21:25:18.440000Z,2022-10-17T21:26:12.909000Z,2022-10-17T21:26:15.012000Z,2022-10-17T21:26:14.944396Z,55,C144ZYME,3362,45,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
634dc83e626988e952b86767,5eeb19d4e0d561256d56d129,APPROVED,2022-10-17T21:25:20.589000Z,2022-10-17T21:26:06.023000Z,2022-10-17T21:26:06.529000Z,2022-10-17T21:26:06.443220Z,46,C144ZYME,1371,29,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),
634dc85ca23fefd8d3b53011,5c16087a1f6f15000149a167,APPROVED,2022-10-17T21:25:52.102000Z,2022-10-17T21:27:45.456000Z,2022-10-17T21:27:45.929000Z,2022-10-17T21:27:45.858569Z,114,C144ZYME,1485,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc86c1173c64a07b86791,5f77a04b06b78631ec4b714c,APPROVED,2022-10-17T21:26:07.844000Z,2022-10-17T21:27:36.511000Z,2022-10-17T21:27:36.923000Z,2022-10-17T21:27:36.851668Z,89,C144ZYME,1048,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc881d9e94aa834130dce,5e68acbc938d3214ff65c299,APPROVED,2022-10-17T21:26:29.209000Z,2022-10-17T21:27:16.406000Z,2022-10-17T21:27:16.827000Z,2022-10-17T21:27:16.761436Z,48,C144ZYME,886,42,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
634dc887626988e952b86771,59f958ccf4217300016cc577,APPROVED,2022-10-17T21:26:35.090000Z,2022-10-17T21:28:40.664000Z,2022-10-17T21:28:41.079000Z,2022-10-17T21:28:41.003787Z,126,C144ZYME,115,23,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc893b63562da4025ef05,62dcea3e83d404e784f0186a,APPROVED,2022-10-17T21:26:45.527000Z,2022-10-17T21:28:58.093000Z,2022-10-17T21:28:58.567000Z,2022-10-17T21:28:58.478181Z,133,C144ZYME,250,24,Male,Mixed,United States,United States,United States,English,Yes,Unemployed (and job seeking),
